"Cikkszám","Termék Név","Nettó Ár","Bruttó Ár","Kategória","Raktárkészlet","Vásárolható, ha nincs Raktáron","Változatokhoz Raktárkészlet","Alacsony készlet","Paraméter: Minőség||text","Paraméter: Kiszerelés||enum","Paraméter: Szín||text","Paraméter: 1 m2 felülethez||text","Paraméter: Család||text","Paraméter: Kategória||text","Paraméter: Téli hangulat minta||text","Paraméter: Szélesség||text","Paraméter: Hossz||text","Paraméter: Méret||text","Paraméter: Ablakfólia típus||text","Paraméter: Beláthatóság||text","Paraméter: Felhelyezés||text","Paraméter: Felület||text","Paraméter: Hővisszaverés||text","Paraméter: Kopóréteg||text","Paraméter: Öntapadós padló|Padló|text","Paraméter: Padló típusa|Padló|text","Paraméter: UV védelem||text","Paraméter: Vastagság||text","Paraméter: Csomag kiszerelés||enum","Paraméter: Videó segítség|Videók|html","Paraméter: VIP ár||text","Paraméter: m2/doboz||text","Paraméter: m2/tekercs||text","Paraméter: m2/csomag||text","Paraméter: Felhelyezés nehézsége||text","Paraméter: Eltávolítható||text","Paraméter: Illesztés||text","Paraméter: Tisztítása||text","Paraméter: ELŐFIZETÉS||text","Paraméter: Konzultáció||enum","Paraméter: brand||text","Paraméter: ean||text","Paraméter: mpn||text","Paraméter: Lépésmélység||text","Paraméter: Lehajló perem||text","Paraméter: Áremelés||text","Paraméter: Szivacs színe||text","Paraméter: FJ-SKU||text","Paraméter: FJ-Beszállító||text","Paraméter: FJ-Listaár||num","Paraméter: FJ-UOM||text"
"338-5012","Láva Ragasztó Nélküli Standard Ablakfólia (Lava) (1,5 m x 90 cm)","2826.77","3590","Ablakfólia|Belátás Elleni Ablakfólia","0","0","0","","Standard","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","90 cm","1,5 m ","1,5 m x 90 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,11 mm","1 db","","","","1.35","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386218469","","","","","","","","",""
"334-0020","Madarak Ragasztó Nélküli Prémium Ablakfólia (Filippa) (1,5 m x 45 cm)","2165.35","2750","Ablakfólia|Belátás Elleni Ablakfólia","9","0","0","","Prémium","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","45 cm","1,5 m","1,5 m x 45 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,15 mm","1 db","","","","","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386271952","","","","","","","","",""
"10278","Madrid Színei Öntapadós Standard Ablakfólia (2 m x 45 cm)","1566.92913386","1990","Ablakfólia|Belátás Elleni Ablakfólia","7","0","0","","Basic","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","45 cm","2 m","2 m x 45 cm","Öntapadós","Nem ","Öntapadós","Üveg","Nem ","","","","Igen","0,8 mm - 0,9 mm","1 db","","","","","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","","","","","","","","",""
"10520","Madrid Színei Öntapadós Standard Ablakfólia (2 m x 67,5 cm)","2354.33070866","2990","Ablakfólia|Belátás Elleni Ablakfólia","12","0","0","","Basic","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","67,5 cm","2 m","2 m x 67,5 cm","Öntapadós","Nem ","Öntapadós","Üveg","Nem ","","","","Igen","0,8 mm - 0,9 mm","1 db","","","","","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","","","","","","","","",""
"334-8026","Mágikus Körök Ragasztó Nélküli Prémium Ablakfólia (Nylo) (1,5 m x 67,5 cm)","2543.31","3230","Ablakfólia|Belátás Elleni Ablakfólia","0","0","0","","Prémium","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","67,5 cm","1,5 m","1,5 m x 67,5 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,15 mm","1 db","","","","1.012","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386287632","","","","","","","","",""
"10250","Metál Mozaik 3D Ragasztó Nélküli Ablakfólia (1,5 m x 45 cm)","2165.35","2750","Ablakfólia|Belátás Elleni Ablakfólia","4","0","0","","","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","45 cm","1,5 m","1,5 m x 45 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,11 mm","1 db","","","","","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","","","","","","","","",""
"334-0031","Mókusok Ragasztó Nélküli Prémium Ablakfólia (Pineview) (1,5 m x 45 cm)","2165.35","2750","Ablakfólia|Belátás Elleni Ablakfólia","12","0","0","","Prémium","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","45 cm","1,5 m","1,5 m x 45 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,15 mm","1 db","","","","","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386297839","","","","","","","","",""
"338-8139","Négy Virág Ragasztó Nélküli Ablakfólia (Ally) (1,5 m x 67,5 cm)","2543.31","3230","Ablakfólia|Belátás Elleni Ablakfólia","22","0","0","","Standard","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","67,5 cm","1,5 m ","1,5 m x 67,5 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,11 mm","1 db","","","","1.012","","1","igen","","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386332554","","","","","","","","",""
"338-0017","Nyári Színek Ragasztó Nélküli Standard Ablakfólia (Lisboa Summer) (1,5 m x 45 cm)","1976.38","2510","Ablakfólia|Belátás Elleni Ablakfólia","2","0","0","","Standard","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","45 cm","1,5 m ","1,5 m x 45 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,11 mm","1 db","","","","","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386218643","","","","","","","","",""
"338-5017","Nyári Színek Ragasztó Nélküli Standard Ablakfólia (Lisboa Summer) (1,5 m x 90 cm)","2543.31","3230","Ablakfólia|Belátás Elleni Ablakfólia","0","0","0","","Standard","Tekercs","Be- és kilátás ellen","","Belátás és kilátás elleni ablakfólia","","","90 cm","1,5 m ","1,5 m x 90 cm","Statikus","Nem ","Statikus","Üveg","Nem","","","","Igen","0,11 mm","1 db","","","","1.35","","1","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386218667","","","","","","","","",""
